"Sort Order","Sortierreihenfolge"
"Giropay (via Saferpay E-Commerce)","Giropay (via Saferpay E-Commerce)"
"EPS (via Saferpay E-Commerce)","EPS (via Saferpay E-Commerce)"
"iDeal (via Saferpay E-Commerce)","iDeal (via Saferpay E-Commerce)"
"PayPal (via Saferpay E-Commerce)","PayPal (via Saferpay E-Commerce)"
"Maestro (via Saferpay E-Commerce)","Maestro (via Saferpay E-Commerce)"
"Credit Cards (via Saferpay E-Commerce)","Credit Cards (via Saferpay E-Commerce)"
"ELV (via Saferpay E-Commerce)","ELV (via Saferpay E-Commerce)"
"Postfinance (via Saferpay E-Commerce)","Postfinance (via Saferpay E-Commerce)"
"Billpay Rechnungskauf (via Saferpay E-Commerce)","Billpay Rechnungskauf (via Saferpay E-Commerce)"
"Billpay Lastschrift (via Saferpay E-Commerce)","Billpay Lastschrift (via Saferpay E-Commerce)"
"mpass (via Saferpay E-Commerce)","mpass (via Saferpay E-Commerce)"
"ClickandBuy (via Saferpay E-Commerce)","ClickandBuy (via Saferpay E-Commerce)"
"You will be redirected to our secure payment page when you place the order.","Sie werden zu unserer sicheren Zahlungsseite weitergeleitet, wenn Sie Ihre Bestellung aufgeben."
"Saferpay Transaction ID: %s","Saferpay Transaktions ID: %s"
"Payment aborted with status ""%s""","Zahlung abgebrochen mit Status ""%s"""
"An error occures while processing the payment failure: %s","Ein Fehler trat während der Zahlungsverarbeitung auf: %s"
"An error occured while processing the payment failure, please contact the store owner for assistance.","Ein Fehler trat während der Zahlungsverarbeitung auf, bitte kontaktieren Sie den Shop Eigentümer für Hilfe."
"Signature invalid, possible manipulation detected! Validation Result: ""%s""","Ungültige Signatur, mögliche Manipulation entdeckt! Validierungsergebnis: ""%s"""
"Can not create an invoice.","Rechnung kann nicht erstellt werden."
"PayComplete call failed. Result: ""%s""","PayComplete Aufruf fehlgeschlagen. Ergebnis: ""%s"""
"Authorized by SaferPay. Transaction ID: ","Authorisiert durch SaferPay. Transaktions ID: "
"Captured by SaferPay. Transaction ID: ","Verbucht durch SaferPay. Transaktions ID: "
"An error occures while processing the payment: %s","Ein Fehler trat während der Zahlungsverarbeitung auf: %s"
"An error occured while processing the payment, please contact the store owner for assistance.","Ein Fehler trat während der Zahlungsverarbeitung auf, bitte kontaktieren Sie den Shop Eigentümer für Hilfe."
"File (PHP Stream Wrappers)","Datei (PHP Stream Wrappers)"
"cURL","cURL"
"Authorize Only (Reservation)","Nur authorisieren (Reservation)"
"Authorize and Capture (Booking)","Authorisieren und buchen (Verbuchung)"
